Condition,Session,Life,Chimp,SocialPlay,Groom,OtherAff,Aggression,NonInt,Abnormal,Travel,Inactive,Session,SocialPlayCO,GroomCO,OtherAffCO,AggressionCO,NonIntCO,AbnormalCO,TravelCO,InactiveCO
CB,1659,LATE,Mouse,472,0,67,0,8,0,0,54,1662,0,0,0,0,0,0,0,597
CB,1731,LATE,Maude,29,30,69,80,94,0,151,120,1734,0,0,11,5,564,0,0,18
CB,1779,LATE,Maude,0,529,65,0,0,0,0,5,1782,0,0,34,9,451,0,51,52
CB,1792,LATE,Mouse,24,355,94,0,0,0,0,124,1795,0,0,27,0,174,22,24,345
HB,1755,LATE,Maude,105,0,232,0,263,0,0,0,1758,0,596,0,0,0,0,0,0
HB,1767,LATE,Maude,293,61,62,0,0,0,31,146,1770,0,0,4,0,0,0,32,551
HB,1768,LATE,Mouse,197,0,181,48,17,0,59,79,1771,0,0,0,0,0,0,0,598
HB,1781,LATE,Mouse,391,0,95,0,0,0,57,55,1784,0,0,61,0,0,0,0,535
