Condition,Session,Life,Chimp,SocialPlay,Groom,OtherAff,Aggression,NonInt,Abnormal,Travel,Inactive,Session,SocialPlayMC,GroomMC,OtherAffMC,AggressionMC,NonIntMC,AbnormalMC,TravelMC,InactiveMC
CB,1659,LATE,Mouse,472,0,67,0,8,0,0,54,1665,0,0,0,0,0,483,0,112
CB,1731,LATE,Maude,29,30,69,80,94,0,151,120,1737,0,0,0,0,16,0,17,564
CB,1779,LATE,Maude,0,529,65,0,0,0,0,5,1785,0,596,0,0,0,0,0,0
CB,1792,LATE,Mouse,24,355,94,0,0,0,0,124,1798,0,0,0,0,593,0,0,0
HB,1755,LATE,Maude,105,0,232,0,263,0,0,0,1761,0,0,0,0,0,0,0,597
HB,1767,LATE,Maude,293,61,62,0,0,0,31,146,1773,0,0,0,0,0,0,0,597
HB,1768,LATE,Mouse,197,0,181,48,17,0,59,79,1774,0,0,0,0,574,0,0,21
HB,1781,LATE,Mouse,391,0,95,0,0,0,57,55,1787,0,0,0,0,0,46,0,552
