Condition,Session,Life,Chimp,SocialPlay,Groom,OtherAff,Aggression,NonInt,Abnormal,Travel,Inactive,Session,SocialPlayCO,GroomCO,OtherAffCO,AggressionCO,NonIntCO,AbnormalCO,TravelCO,InactiveCO
CB,1521,MOM,Magic,0,537,0,0,0,0,34,10,1524,0,0,0,0,462,0,0,134
CB,1669,MOM,Magic,0,73,107,13,65,0,73,257,1672,0,0,0,0,314,0,19,148
CB,1719,MOM,Magic,0,570,11,0,0,19,0,0,1722,0,108,0,0,0,450,7,33
HB,1543,MOM,Magic,0,0,0,0,68,0,13,518,1546,0,3,7,0,0,0,185,297
HB,1694,MOM,Magic,0,0,259,0,102,0,42,186,1697,0,0,0,0,303,0,52,242
HB,1706,MOM,Magic,35,468,0,0,0,0,0,93,1709,0,0,0,0,164,123,0,306
